Wi	Wc	P	802.11	WiFi2	Box-MAC	BMACrv	802.11sim	BoX-MACsim	802.11math	BoX-MACmath
320	80	128	34.23245664	29.91350192	60.15317333	13.40416	21.7646	67.7547	15.7889	80.7026
240	80	128	33.40998032	29.31267568	64.34474667	12.51328	22.0211	66.56	15.2531	82.4976
160	80	128	31.297204	27.26527456	75.32544	20.28544	21.4205	71.3387	14.6732	84.1749
80	80	128	32.92676688	28.69264352	66.41664	12.75904	21.4174	72.192	14.0541	85.7175
320	60	128	29.83555216	26.0165144	81.60597333	21.51424	20.0474	76.8	14.8024	84.1684
240	60	128	30.37425632	26.2354744	77.67381333	19.53109333	20.4133	75.9467	14.1444	85.8558
160	60	128	30.25226432	26.29884768	80.56149333	18.5856	20.3132	77.312	13.4423	87.3861
80	60	128	28.89246016	24.986464	87.20725333	22.35050667	20.1881	78.6773	12.7064	88.7466
320	40	128	28.99480832	24.93041024	87.36085333	17.82442667	18.1612	91.136	13.4559	87.6168
240	40	128	27.63068752	23.75716	95.44021333	23.43936	18.7836	86.3573	12.6391	89.1166
160	40	128	28.95852352	24.8388224	88.10154667	18.25792	18.7868	86.1867	11.7859	90.4171
80	40	128	28.982484	24.79615648	88.66133333	19.05664	18.4114	92.16	10.9148	91.5143
320	80	108	34.13361184	30.18532512	57.6144	10.95264	22.2119	64.512	17.058	72.1325
240	80	108	32.88009712	28.45904448	60.50016	16.8192	22.8031	59.76	16.5942	73.9331
160	80	108	31.87644704	28.14937248	68.17248	15.51744	22.4684	63.648	16.0709	75.6204
80	80	108	33.3419776	28.86418304	58.1328	12.94848	22.4246	64.08	15.4886	77.1721
320	60	108	32.98300832	28.65179184	63.0432	14.61312	21.4456	70.848	16.2863	75.3094
240	60	108	28.20054656	24.55861616	89.22816	27.6624	21.3236	71.568	15.6904	77.0095
160	60	108	33.28235792	29.07576096	64.46592	14.56128	21.2798	72.576	15.025	78.5517
80	60	108	33.39690528	28.98429824	63.65376	14.4288	21.4331	70.272	14.2949	79.9167
320	40	108	30.19633568	25.92918064	79.96608	21.0096	19.8628	81.504	15.1928	78.4435
240	40	108	32.1611576	27.76469104	72.27648	14.85792	19.9128	80.64	14.4109	79.9593
