Wi	Wc	P	"802.11 P=128"	WiFi2	"BoX-MAC P=128"	BMACrv	"802.11sim P=128"	"BoX-MACsim P=128" "802.11 P=68"	WiFi2	"BoX-MAC P=68"	BMACrv	"802.11sim P=68"	"BoX-MACsim P=68"
80	80	128	32.92676688	28.69264352	66.41664	12.75904	21.4174	72.192      35.14602032	30.41548336	47.34069333	12.34698667	25.2868	42.976   
160	80	128	31.297204	27.26527456	75.32544	20.28544	21.4205	71.3387       34.21224976	29.49785328	50.00266667	14.75509333	25.6934	42.6133  
240	80	128	33.40998032	29.31267568	64.34474667	12.51328	22.0211	66.56     35.9576112	31.2978296	43.34229333	10.77664	25.3118	43.52      
320	80	128	34.23245664	29.91350192	60.15317333	13.40416	21.7646	67.7547   37.27806512	32.35177792	37.66656	7.74112	25.6996	41.072         
#320	60	128	29.83555216	26.0165144	81.60597333	21.51424	20.0474	76.8      36.04325584	31.56583664	47.53472	9.597973333	24.5329	49.5947    
#240	60	128	30.37425632	26.2354744	77.67381333	19.53109333	20.4133	75.9467 36.686748	31.89071072	44.18186667	9.728533333	24.2045	50.864     
#160	60	128	30.25226432	26.29884768	80.56149333	18.5856	20.3132	77.312      33.28025173	28.59091053	48.54112	11.29344	24.4766	50.5013      
#80	60	128	28.89246016	24.986464	87.20725333	22.35050667	20.1881	78.6773   33.662754	29.01741333	46.72416	11.72682667	24.4547	49.6853      
#320	40	128	28.99480832	24.93041024	87.36085333	17.82442667	18.1612	91.136  35.728016	30.81968352	49.09781333	10.04949333	23.8604	53.2213    
#240	40	128	27.63068752	23.75716	95.44021333	23.43936	18.7836	86.3573     35.50911856	30.71783584	51.62016	10.07669333	23.3036	56.576     
#160	40	128	28.95852352	24.8388224	88.10154667	18.25792	18.7868	86.1867   35.2938496	30.48067088	54.08085333	10.80384	23.5945	54.672     
#80	40	128	28.982484	24.79615648	88.66133333	19.05664	18.4114	92.16       34.92781104	30.053824	55.42997333	11.46389333	23.435	55.9413    
