W0	Wm	P	802.11	BoX-MAC	802.11_sim	BoX-MAC_sim	802.11_math	BoX-MAC_math
16	256	500	11.08672	61.45706667	9.2192	132.096	12.2388	81.3439
16	512	500	12.71128667	42.84586667	9.2138	132.4373	11.3619	82.444
16	1024	500	10.57778667	69.64224	9.4812	128.1707	10.405	83.3211
32	256	500	6.278013333	125.1362133	7.8571	140.1173	10.4715	83.2414
32	512	500	5.234253333	139.8852267	7.8929	140.1173	9.2044	84.1646
32	1024	500	6.455353333	122.5489067	7.7763	141.6533	8.0366	84.8611
64	256	500	4.029986667	153.17504	5.5258	158.8907	8.4833	84.5881
64	512	500	4.191333333	151.65952	5.5491	158.8907	7.0204	85.3749
64	1024	500	3.813966667	156.8324267	5.5437	158.208	5.8417	85.9276
16	256	1000	16.57913333	69.17290667	14.6695	100.6933	15.4894	79.298
16	512	1000	10.39452	125.6004267	14.3988	105.1307	14.4366	80.7622
16	1024	1000	14.65453333	87.06389333	14.4554	103.5947	13.2755	81.9205
32	256	1000	9.166293333	130.9064533	11.3	124.0747	13.3859	81.7835
32	512	1000	6.499586667	153.21088	11.2926	124.416	11.8382	82.9993
32	1024	1000	6.641733333	151.94624	11.4501	123.904	10.3941	83.9099
64	256	1000	7.827426667	137.9328	7.6277	151.552	10.9751	83.5341
64	512	1000	6.033	153.28256	7.512	151.7227	9.1523	84.5621
64	1024	1000	7.874306667	137.2501333	7.5194	151.04	7.6626	85.2802
16	256	1500	20.52928	70.14570667	21.4174	70.144	18.274	77.512
16	512	1500	19.09592	79.33610667	21.0076	74.5813	17.0986	79.2958
16	1024	1500	19.2696	78.58858667	21.3986	69.9733	15.7889	80.7026
32	256	1500	15.83044	98.32106667	15.03	109.568	15.9355	80.5108
32	512	1500	15.8119	96.96768	14.9769	111.616	14.1768	81.9854
32	1024	1500	16.82668	91.30496	14.8674	112.64	12.5154	83.0854
64	256	1500	11.5736	117.2241067	9.3965	146.7733	13.2072	82.617
64	512	1500	11.09118	120.1800533	9.4841	146.6027	11.0948	83.8582
64	1024	1500	11.49082	118.1252267	9.3027	148.3093	9.3444	84.7218
